Location	Bait	Start	End	Transition	Weather	Predator, Amount	Tug	Hookset	Gathering	Snagging?	Fish Eyes?	ID	Note
Limsa Lominsa Upper Decks												10101	
Merlthor Goby	Lugworm						Light	Precision				4	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Malm Kelp	Lugworm						Light	Precision				1	
Finger Shrimp	Lugworm						Light	Precision				8	
Ocean Cloud	Pill Bug						Light	Precision				12	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Coral Butterfly	Pill Bug						Medium	Powerful				20	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Goldenfin	Pill Bug	9	14				Heavy	Precision				208	
Limsa Lominsa Lower Decks												10201	
Merlthor Goby	Lugworm						Light	Precision				4	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Malm Kelp	Pill Bug						Light	Precision				1	
Finger Shrimp	Lugworm						Light	Precision				8	
Ocean Cloud	Pill Bug						Light	Precision				12	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Coral Butterfly	Floating Minnow						Medium	Powerful				20	
Blue Octopus	Ocean Cloud						Medium	Powerful				45	
Octomammoth	Harbor Herring	9	17				Heavy	Powerful				230	
Zephyr Drift												10301	
Merlthor Goby	Lugworm						Light	Precision				4	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Finger Shrimp	Lugworm						Light	Precision				8	
Ocean Cloud	Pill Bug						Light	Precision				12	
Sea Cucumber	Goby Ball						Light	Precision				14	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Coral Butterfly	Floating Minnow						Medium	Powerful				20	
Angelfish	Steel Jig						Medium	Powerful				40	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Zalera	Rat Tail	9	14				Heavy	Precision				201	
Rogue River												10303	
Crayfish	Moth Pupa						Light	Precision				2	
Chub	Moth Pupa						Light	Precision				3	
Dwarf Catfish	Moth Pupa						Light	Precision				7	
Princess Trout	Crayfish Ball						Medium	Powerful				11	
La Noscean Perch	Floating Minnow						Medium	Powerful				37	
Beguiler Chub	Moth Pupa	9	14				Heavy	Precision				202	
West Agelyss River												10304	
Crayfish	Moth Pupa						Light	Precision				2	
Chub	Moth Pupa						Light	Precision				3	
Dwarf Catfish	Moth Pupa						Light	Precision				7	
Princess Trout	Crayfish Ball						Medium	Powerful				11	
Gudgeon	Crayfish Ball						Light	Precision				19	
La Noscean Perch	Sinking Minnow						Medium	Powerful				37	
Great Gudgeon	Crayfish Ball						Heavy	Precision				211	
Summerford												10302	
Merlthor Goby	Lugworm						Light	Precision				4	
Finger Shrimp	Lugworm						Light	Precision				8	
White Coral	Pill Bug						Light	Precision				10	
Ocean Cloud	Pill Bug						Light	Precision				12	
Harbor Herring	Floating Minnow						Medium	Powerful				15	
Vongola Clam	Northern Krill						Light	Precision				18	
Blue Octopus	Ocean Cloud						Medium	Powerful				45	
Ogre Barracuda	Harbor Herring						Medium	Powerful				58	
Silver Shark	Merlthor Goby						Medium	Powerful				111	
Gigantshark	Harbor Herring				Clear Skies, Fair Skies		Heavy	Powerful				209	
Nym River												10305	
Chub	Moth Pupa						Light	Precision				3	
Dwarf Catfish	Moth Pupa						Light	Precision				7	
Princess Trout	Crayfish Ball						Medium	Powerful				11	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Gudgeon	Crayfish Ball						Light	Precision				19	
Maiden Carp	Bloodworm						Medium	Powerful				23	
La Noscean Perch	Floating Minnow						Medium	Powerful				37	
High Perch	Sinking Minnow	5	8				Heavy	Powerful				232	
Woad Whisper Canyon												10306	
Dwarf Catfish	Moth Pupa						Light	Precision				7	
Dusk Goby	Crayfish Ball						Light	Precision				13	
River Crab	Bloodworm						Light	Precision				29	
La Noscean Perch	Floating Minnow						Medium	Powerful				37	
Copperfish	Butterworm						Light	Precision				41	
Eunuch Crayfish	Copperfish						Light	Precision				47	
Glass Perch	Chocobo Fly						Medium	Powerful				52	
Crystal Perch	Butterworm				Clouds, Fog, Wind		Heavy	Precision				205	
The Mourning Widow												10401	
Crayfish	Moth Pupa						Light	Precision				2	
Chub	Moth Pupa						Light	Precision				3	
Dwarf Catfish	Moth Pupa						Light	Precision				7	
Princess Trout	Crayfish Ball						Medium	Powerful				11	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Gudgeon	Crayfish Ball						Light	Precision				19	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Caterwauler	Moth Pupa						Heavy	Precision				204	
Moraby Bay												10402	
Merlthor Goby	Lugworm						Light	Precision				4	
Malm Kelp	Pill Bug						Light	Precision				1	
Ocean Cloud	Pill Bug						Light	Precision				12	
Sea Cucumber	Rat Tail						Light	Precision				14	
Vongola Clam	Goby Ball						Light	Precision				18	
Moraby Flounder	Yumizuno						Medium	Powerful				22	
Pebble Crab	Yumizuno						Light	Precision				26	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Oschon's Print	Goby Ball						Heavy	Powerful				203	
Cedarwood												10403	
Merlthor Goby	Lugworm						Light	Precision				4	
Ocean Cloud	Pill Bug						Light	Precision				12	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Moraby Flounder	Yumizuno						Medium	Powerful				22	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Leafy Seadragon	Northern Krill						Light	Precision				81	
